graph_id,split,group,seed,method_family,method_name,target_ordering,feature_set,checkpoint_selection,ordering_name,num_vertices,num_edges,target_colors,num_colors,gap_from_target,valid,runtime_seconds,selected_teacher_ordering,checkpoint_path,best_colors,matches_best_of_5,gap_to_best_of_5,gnn_checkpoint_label
week17_bcsstk08,test,structured_matrix,1,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,1074,5943,8,9,1,True,0.0069939999375492,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_1.pt,8,False,1,GNN_COLOR_SELECTED
week17_gr_30_30,test,structured_matrix,1,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,900,3422,4,6,2,True,0.0036673999857157,LARGEST_FIRST,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_1.pt,4,False,2,GNN_COLOR_SELECTED
dwt_419,validation,original_sparse_matrix,2,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,419,1572,6,6,0,True,0.0026384000666439,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_2.pt,6,True,0,GNN_COLOR_SELECTED
week17_lshp_265,validation,structured_matrix,2,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,265,744,4,5,1,True,0.0015088999643921,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_2.pt,4,False,1,GNN_COLOR_SELECTED
bcsstk06,test,original_sparse_matrix,2,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,420,3720,12,13,1,True,0.0042856999207288,DYNAMIC_LARGEST_FIRST,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_2.pt,12,False,1,GNN_COLOR_SELECTED
sherman1,test,original_sparse_matrix,2,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,1000,1375,2,5,3,True,0.0034934999421238,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_2.pt,2,False,3,GNN_COLOR_SELECTED
week17_bcsstk08,test,structured_matrix,2,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,1074,5943,8,10,2,True,0.0066557000391185,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_2.pt,8,False,2,GNN_COLOR_SELECTED
week17_gr_30_30,test,structured_matrix,2,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,900,3422,4,7,3,True,0.0041136001236736,LARGEST_FIRST,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_2.pt,4,False,3,GNN_COLOR_SELECTED
dwt_419,validation,original_sparse_matrix,3,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,419,1572,6,6,0,True,0.0025663999840617,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_3.pt,6,True,0,GNN_COLOR_SELECTED
week17_lshp_265,validation,structured_matrix,3,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,265,744,4,5,1,True,0.0018334998749196,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_3.pt,4,False,1,GNN_COLOR_SELECTED
bcsstk06,test,original_sparse_matrix,3,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,420,3720,12,14,2,True,0.0039373999461531,DYNAMIC_LARGEST_FIRST,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_3.pt,12,False,2,GNN_COLOR_SELECTED
sherman1,test,original_sparse_matrix,3,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,1000,1375,2,5,3,True,0.0031552999280393,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_3.pt,2,False,3,GNN_COLOR_SELECTED
week17_bcsstk08,test,structured_matrix,3,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,1074,5943,8,9,1,True,0.0073373999912291,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_3.pt,8,False,1,GNN_COLOR_SELECTED
week17_gr_30_30,test,structured_matrix,3,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,900,3422,4,7,3,True,0.0037263000849634,LARGEST_FIRST,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_3.pt,4,False,3,GNN_COLOR_SELECTED
dwt_419,validation,original_sparse_matrix,4,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,419,1572,6,6,0,True,0.0021741997916251,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_4.pt,6,True,0,GNN_COLOR_SELECTED
week17_lshp_265,validation,structured_matrix,4,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,265,744,4,5,1,True,0.0026507000438869,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_4.pt,4,False,1,GNN_COLOR_SELECTED
bcsstk06,test,original_sparse_matrix,4,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,420,3720,12,20,8,True,0.004054999910295,DYNAMIC_LARGEST_FIRST,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_4.pt,12,False,8,GNN_COLOR_SELECTED
sherman1,test,original_sparse_matrix,4,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,1000,1375,2,5,3,True,0.0042589998338371,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_4.pt,2,False,3,GNN_COLOR_SELECTED
week17_bcsstk08,test,structured_matrix,4,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,1074,5943,8,14,6,True,0.0057936999946832,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_4.pt,8,False,6,GNN_COLOR_SELECTED
week17_gr_30_30,test,structured_matrix,4,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,900,3422,4,7,3,True,0.0037415002007037,LARGEST_FIRST,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_4.pt,4,False,3,GNN_COLOR_SELECTED
dwt_419,validation,original_sparse_matrix,0,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,419,1572,6,7,1,True,0.0597890999633818,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_0.pt,6,False,1,GNN_LOSS_SELECTED
week17_lshp_265,validation,structured_matrix,0,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,265,744,4,5,1,True,0.0028143001254647,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_0.pt,4,False,1,GNN_LOSS_SELECTED
bcsstk06,test,original_sparse_matrix,0,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,420,3720,12,15,3,True,0.0034805000759661,DYNAMIC_LARGEST_FIRST,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_0.pt,12,False,3,GNN_LOSS_SELECTED
sherman1,test,original_sparse_matrix,0,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,1000,1375,2,5,3,True,0.0129170999862253,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_0.pt,2,False,3,GNN_LOSS_SELECTED
week17_bcsstk08,test,structured_matrix,0,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,1074,5943,8,8,0,True,0.0063583999872207,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_0.pt,8,True,0,GNN_LOSS_SELECTED
week17_gr_30_30,test,structured_matrix,0,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,900,3422,4,7,3,True,0.0048005999997258,LARGEST_FIRST,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_0.pt,4,False,3,GNN_LOSS_SELECTED
dwt_419,validation,original_sparse_matrix,1,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,419,1572,6,7,1,True,0.0021522000897675,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_1.pt,6,False,1,GNN_LOSS_SELECTED
week17_lshp_265,validation,structured_matrix,1,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,265,744,4,5,1,True,0.0013826999347656,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_1.pt,4,False,1,GNN_LOSS_SELECTED
bcsstk06,test,original_sparse_matrix,1,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,420,3720,12,14,2,True,0.0032556999940425,DYNAMIC_LARGEST_FIRST,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_1.pt,12,False,2,GNN_LOSS_SELECTED
sherman1,test,original_sparse_matrix,1,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,1000,1375,2,5,3,True,0.0026489000301808,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_1.pt,2,False,3,GNN_LOSS_SELECTED
week17_bcsstk08,test,structured_matrix,1,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,1074,5943,8,9,1,True,0.0051781998481601,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_1.pt,8,False,1,GNN_LOSS_SELECTED
week17_gr_30_30,test,structured_matrix,1,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,900,3422,4,8,4,True,0.0027552000246942,LARGEST_FIRST,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_1.pt,4,False,4,GNN_LOSS_SELECTED
dwt_419,validation,original_sparse_matrix,2,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,419,1572,6,6,0,True,0.0024967000354081,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_2.pt,6,True,0,GNN_LOSS_SELECTED
week17_lshp_265,validation,structured_matrix,2,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,265,744,4,5,1,True,0.0020262000616639,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_2.pt,4,False,1,GNN_LOSS_SELECTED
bcsstk06,test,original_sparse_matrix,2,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,420,3720,12,13,1,True,0.0033813000191003,DYNAMIC_LARGEST_FIRST,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_2.pt,12,False,1,GNN_LOSS_SELECTED
sherman1,test,original_sparse_matrix,2,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,1000,1375,2,5,3,True,0.002818499924615,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_2.pt,2,False,3,GNN_LOSS_SELECTED
week17_bcsstk08,test,structured_matrix,2,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,1074,5943,8,10,2,True,0.0047603000421077,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_2.pt,8,False,2,GNN_LOSS_SELECTED
week17_gr_30_30,test,structured_matrix,2,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,900,3422,4,7,3,True,0.0038689998909831,LARGEST_FIRST,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_2.pt,4,False,3,GNN_LOSS_SELECTED
dwt_419,validation,original_sparse_matrix,3,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,419,1572,6,6,0,True,0.0022535000462085,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_3.pt,6,True,0,GNN_LOSS_SELECTED
week17_lshp_265,validation,structured_matrix,3,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,265,744,4,5,1,True,0.0021293000318109,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_3.pt,4,False,1,GNN_LOSS_SELECTED
bcsstk06,test,original_sparse_matrix,3,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,420,3720,12,14,2,True,0.0040581000503152,DYNAMIC_LARGEST_FIRST,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_3.pt,12,False,2,GNN_LOSS_SELECTED
sherman1,test,original_sparse_matrix,3,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,1000,1375,2,5,3,True,0.0026372999418526,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_3.pt,2,False,3,GNN_LOSS_SELECTED
week17_bcsstk08,test,structured_matrix,3,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,1074,5943,8,9,1,True,0.0060731000266969,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_3.pt,8,False,1,GNN_LOSS_SELECTED
week17_gr_30_30,test,structured_matrix,3,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,900,3422,4,7,3,True,0.0047492999583482,LARGEST_FIRST,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_3.pt,4,False,3,GNN_LOSS_SELECTED
dwt_419,validation,original_sparse_matrix,4,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,419,1572,6,7,1,True,0.0029609000775963,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_4.pt,6,False,1,GNN_LOSS_SELECTED
week17_lshp_265,validation,structured_matrix,4,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,265,744,4,6,2,True,0.0017063000705093,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_4.pt,4,False,2,GNN_LOSS_SELECTED
bcsstk06,test,original_sparse_matrix,4,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,420,3720,12,14,2,True,0.0040653999894857,DYNAMIC_LARGEST_FIRST,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_4.pt,12,False,2,GNN_LOSS_SELECTED
sherman1,test,original_sparse_matrix,4,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,1000,1375,2,5,3,True,0.0024071999359875,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_4.pt,2,False,3,GNN_LOSS_SELECTED
week17_bcsstk08,test,structured_matrix,4,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,1074,5943,8,13,5,True,0.0059287999756634,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_4.pt,8,False,5,GNN_LOSS_SELECTED
week17_gr_30_30,test,structured_matrix,4,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,900,3422,4,7,3,True,0.004113599890843,LARGEST_FIRST,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_4.pt,4,False,3,GNN_LOSS_SELECTED
